Nombre,Simbolo,Precio,Supply en circulacion,Marketcap,Volumen 24h,%1h,%24h,%7 días,%1 mes,% YTD,Fecha extracción
Metal,MTL,5.08316633922546,65588845.12,333399009.74265605,87692671.21096879,1.0394874,6.82334747,-25.37580359,228.60755495,1162.3218,12-04-2021 20:45
Ark,ARK,2.56686659988849,128457111.48418085,329732268.986896,5962896.53697476,0.42644264,-3.68900339,-7.68624726,67.21134515,556.2651,12-04-2021 20:45
JUST,JST,0.14557561961455,2260326706,329048460.7572648,296889883.58845806,2.15873138,3.65642964,-19.97578679,127.91830107,536.7864,12-04-2021 20:45
GateToken,GT,4.19734970275342,76274115.55212542,320149136.24049366,88295761.94598699,-2.30635359,8.38834778,68.27754896,177.41742908,711.494,12-04-2021 20:45
RSK Infrastructure Framework,RIF,0.43414875719925,721033342.8044627,313035729.67777824,27168558.93679699,-3.67111856,13.64712689,22.08672091,29.51776408,176.0116,12-04-2021 20:45
Travala.com,AVA,6.17570163590641,50229800.75883155,310204262.71756905,32375951.81620626,-0.65584852,10.57932489,18.21018859,64.07158958,677.3016,12-04-2021 20:45
Unibright,UBT,2.06117946374097,149999999.24349335,309176918.00184953,4207571.30200621,0.45036428,-0.15475262,22.58607006,76.65982044,348.5118,12-04-2021 20:45
Polymath,POLY,0.50030905323059,610331782.5449197,305354516.2815871,3804476.34452611,-1.23852811,-3.3472316,-23.87153416,8.38878422,403.5367,12-04-2021 20:45
TrueUSD,TUSD,1.00174229705482,286442750.22,286941818.58008283,128773219.0023036,0.02982509,-0.12379833,-0.58760463,0.17843349,0.1685,12-04-2021 20:45
Orchid,OXT,0.77672158979154,367584352,285510702.2679331,46971174.01611426,-0.4098122,-2.29433876,-11.0510398,23.92945823,236.7488,12-04-2021 20:45
ZB Token,ZB,0.61188082406947,463288810,283477538.8449641,92229477.54570827,-0.72942698,11.31053885,21.42258069,43.28642101,132.1076,12-04-2021 20:45
Handshake,HNS,0.75094374192323,372462325.26178,279698252.2575083,2840820.19467441,2.57074326,0.23935064,16.45088779,136.05920994,628.3382,12-04-2021 20:45
Syscoin,SYS,0.43999137157313,610263110.0265629,268510502.80107135,12253083.754668,-1.14123396,-0.1474091,18.20592657,63.01360294,604.2345,12-04-2021 20:45
Oasis Network,ROSE,0.18128781750272,1500000000,271931726.25408,17201954.81310272,-0.45168193,-3.07059454,-11.25106735,1.70184761,329.7864,12-04-2021 20:45
Syntropy,NOIA,0.74200409260516,367659874.66612816,272805131.6889673,1842860.05280876,0.16492128,-5.86436685,5.38032375,48.91879273,306.3431,12-04-2021 20:45
MCO,MCO,16.89107590247989,15793831.094963,266774799.8159671,3758700.57722835,9.22424361,-11.93472657,1.63291089,0,541.5449,12-04-2021 20:45
Secret,SCRT,3.84284581574729,69703477,267859714.93248746,7728931.25111314,4.68860033,3.46441002,12.14908206,28.7226411,507.2918,12-04-2021 20:45
Gnosis,GNO,176.23435126799512,1504587,265159913.87125897,1334816.31688455,-0.1822577,-1.37302398,2.30983171,18.06585408,142.3829,12-04-2021 20:45
aelf,ELF,0.48632454812147,544480199.9864658,264794087.2195056,42714400.10390474,1.29844154,-4.81183716,-7.06501805,40.12746994,353.6593,12-04-2021 20:45
OriginTrail,TRAC,0.73814388691234,356940275.96515,263473282.6964791,1996674.94135046,0.21318945,-7.15981644,-8.27377677,-11.3394184,379.8742,12-04-2021 20:45
IRISnet,IRIS,0.26913141175375,974853028.890702,262363571.91777387,289717228.9929639,-2.5664593,9.47239239,22.02254975,53.24160294,586.821,12-04-2021 20:45
Utrust,UTK,0.58369840734591,450000000,262664283.3056595,21173745.91608739,-0.07020548,-7.16912781,-19.17068157,3.57495973,376.4834,12-04-2021 20:45
Polkastarter,POLS,4.08889868690499,63776500,260775647.1053961,27671646.57027994,-0.77984447,-6.95951131,-0.07132317,-5.1348786,488.0384,12-04-2021 20:45
TomoChain,TOMO,3.16709933762068,81045300,256678515.9472693,31392374.05449897,-0.45541357,-3.76619135,-1.17829443,32.20650368,368.2372,12-04-2021 20:45
QuarkChain,QKC,0.03985029958598,6399906497,255038191.2277098,9420665.25051357,-0.52899774,-3.14192115,-22.79504832,36.36864548,618.3172,12-04-2021 20:45
Sora,XOR,714.4983942499712,350000,250074437.98748994,11264462.77572742,-3.66471147,0.98098987,-20.75073767,30.84409664,590.9106,12-04-2021 20:45
Hive,HIVE,0.63525442327807,393534476.829,249994517.1180434,11398537.86183036,0.31836402,-4.42953323,-15.16692415,60.54186314,438.1701,12-04-2021 20:45
Bytom,BTM,0.17020003773907,1422233781.503,242064243.28559083,71603985.38121335,-1.19077859,-8.09451578,-11.18389432,74.39407083,211.7463,12-04-2021 20:45
Everipedia,IQ,0.02382901543226,9997290397.759,238225587.16898394,5335576.24202945,-0.13369449,-3.04484806,-33.6377811,83.46086763,266.4863,12-04-2021 20:45
Power Ledger,POWR,0.53747223439867,439897654.14937,236432775.08239526,5831571.09562595,-0.02044087,-3.006033,-10.86801002,42.91375841,438.8722,12-04-2021 20:45
COTI,COTI,0.35242415879002,669740238.21,236032640.05898687,45245831.70929445,0.77256334,-4.04132845,-10.50445323,-5.94429965,666.9289,12-04-2021 20:45
NuCypher,NU,0.57775138071383,408250000,235867001.1764211,17128318.82860576,0.26063581,0.76538827,-7.188068,-8.17926953,245.8616,12-04-2021 20:45
